,L-Weight,L-Distance,R-Weight,R-Distance,class
0,1,1,1,1,B
2,1,1,1,3,R
3,1,1,1,4,R
4,1,1,1,5,R
5,1,1,2,1,R
6,1,1,2,2,R
7,1,1,2,3,R
8,1,1,2,4,R
9,1,1,2,5,R
10,1,1,3,1,R
11,1,1,3,2,R
12,1,1,3,3,R
13,1,1,3,4,R
15,1,1,4,1,R
16,1,1,4,2,R
18,1,1,4,4,R
19,1,1,4,5,R
20,1,1,5,1,R
21,1,1,5,2,R
22,1,1,5,3,R
23,1,1,5,4,R
24,1,1,5,5,R
25,1,2,1,1,L
26,1,2,1,2,B
27,1,2,1,3,R
28,1,2,1,4,R
29,1,2,1,5,R
30,1,2,2,1,B
31,1,2,2,2,R
32,1,2,2,3,R
33,1,2,2,4,R
34,1,2,2,5,R
35,1,2,3,1,R
36,1,2,3,2,R
37,1,2,3,3,R
38,1,2,3,4,R
39,1,2,3,5,R
40,1,2,4,1,R
41,1,2,4,2,R
42,1,2,4,3,R
43,1,2,4,4,R
44,1,2,4,5,R
45,1,2,5,1,R
46,1,2,5,2,R
47,1,2,5,3,R
50,1,3,1,1,L
51,1,3,1,2,L
53,1,3,1,4,R
54,1,3,1,5,R
56,1,3,2,2,R
57,1,3,2,3,R
58,1,3,2,4,R
59,1,3,2,5,R
60,1,3,3,1,B
61,1,3,3,2,R
63,1,3,3,4,R
64,1,3,3,5,R
65,1,3,4,1,R
66,1,3,4,2,R
67,1,3,4,3,R
68,1,3,4,4,R
69,1,3,4,5,R
70,1,3,5,1,R
71,1,3,5,2,R
72,1,3,5,3,R
73,1,3,5,4,R
74,1,3,5,5,R
75,1,4,1,1,L
76,1,4,1,2,L
78,1,4,1,4,B
79,1,4,1,5,R
80,1,4,2,1,L
81,1,4,2,2,B
82,1,4,2,3,R
83,1,4,2,4,R
84,1,4,2,5,R
86,1,4,3,2,R
87,1,4,3,3,R
88,1,4,3,4,R
89,1,4,3,5,R
90,1,4,4,1,B
91,1,4,4,2,R
92,1,4,4,3,R
93,1,4,4,4,R
94,1,4,4,5,R
95,1,4,5,1,R
96,1,4,5,2,R
97,1,4,5,3,R
98,1,4,5,4,R
99,1,4,5,5,R
100,1,5,1,1,L
101,1,5,1,2,L
102,1,5,1,3,L
104,1,5,1,5,B
105,1,5,2,1,L
106,1,5,2,2,L
107,1,5,2,3,R
108,1,5,2,4,R
109,1,5,2,5,R
110,1,5,3,1,L
111,1,5,3,2,R
112,1,5,3,3,R
113,1,5,3,4,R
114,1,5,3,5,R
115,1,5,4,1,L
116,1,5,4,2,R
117,1,5,4,3,R
118,1,5,4,4,R
119,1,5,4,5,R
120,1,5,5,1,B
121,1,5,5,2,R
122,1,5,5,3,R
123,1,5,5,4,R
124,1,5,5,5,R
125,2,1,1,1,L
126,2,1,1,2,B
128,2,1,1,4,R
129,2,1,1,5,R
130,2,1,2,1,B
131,2,1,2,2,R
132,2,1,2,3,R
133,2,1,2,4,R
134,2,1,2,5,R
135,2,1,3,1,R
136,2,1,3,2,R
137,2,1,3,3,R
138,2,1,3,4,R
139,2,1,3,5,R
140,2,1,4,1,R
141,2,1,4,2,R
142,2,1,4,3,R
143,2,1,4,4,R
144,2,1,4,5,R
145,2,1,5,1,R
146,2,1,5,2,R
147,2,1,5,3,R
148,2,1,5,4,R
149,2,1,5,5,R
150,2,2,1,1,L
151,2,2,1,2,L
