,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,PRP,ERP
0,125,256,6000,256,16,128,198,199
2,29,8000,32000,32,8,32,220,253
3,29,8000,32000,32,8,32,172,253
4,29,8000,16000,32,8,16,132,132
5,26,8000,32000,64,8,32,318,290
6,23,16000,32000,64,16,32,367,381
7,23,16000,32000,64,16,32,489,381
8,23,16000,64000,64,16,32,636,749
9,23,32000,64000,128,32,64,1144,1238
10,400,1000,3000,0,1,2,38,23
11,400,512,3500,4,1,6,40,24
12,60,2000,8000,65,1,8,92,70
13,50,4000,16000,65,1,8,138,117
14,350,64,64,0,1,4,10,15
15,200,512,16000,0,4,32,35,64
16,167,524,2000,8,4,15,19,23
18,143,1000,2000,0,5,16,31,22
19,110,5000,5000,142,8,64,120,124
20,143,1500,6300,0,5,32,30,35
21,143,3100,6200,0,5,20,33,39
22,143,2300,6200,0,6,64,61,40
23,110,3100,6200,0,6,64,76,45
24,320,128,6000,0,1,12,23,28
25,320,512,2000,4,1,3,69,21
26,320,256,6000,0,1,6,33,28
27,320,256,3000,4,1,3,27,22
29,320,256,5000,4,1,6,27,27
30,25,1310,2620,131,12,24,274,102
32,50,2620,10480,30,12,24,32,74
33,50,2620,10480,30,12,24,63,74
35,64,5240,20970,30,12,24,208,136
36,50,500,2000,8,1,4,20,23
37,50,1000,4000,8,1,5,29,29
39,50,1000,4000,8,3,5,26,30
40,50,1000,8000,8,3,5,36,41
41,50,2000,16000,8,3,5,40,74
43,50,2000,16000,8,3,6,60,74
44,133,1000,12000,9,3,12,72,54
45,133,1000,8000,9,3,12,72,41
46,810,512,512,8,1,1,18,18
47,810,1000,5000,0,1,1,20,28
48,320,512,8000,4,1,5,40,36
49,200,512,8000,8,1,8,62,38
50,700,384,8000,0,1,1,24,34
51,700,256,2000,0,1,1,24,19
52,140,1000,16000,16,1,3,138,72
54,110,1000,4000,16,1,2,26,30
55,110,1000,12000,16,1,2,60,56
56,220,1000,8000,16,1,2,71,42
58,800,256,8000,0,1,4,14,34
