,edges
0,feature18
1,feature31
2,feature27
3,feature21
4,feature7
5,feature5
6,feature8
7,feature6
8,feature17
9,feature11
10,feature15
11,feature21
12,feature18
13,feature20
14,feature33
15,feature13
16,feature31
17,feature33
18,feature11
19,feature9
20,feature5
21,feature3
22,feature12
23,feature10
24,feature21
25,feature23
26,feature29
27,feature25
28,feature19
29,feature14
30,feature21
31,feature19
32,feature9
33,feature19
34,feature26
35,feature28
36,feature15
37,feature17
38,feature15
39,feature7
40,feature13
41,feature15
42,feature28
43,feature30
44,feature29
45,feature27
46,feature10
47,feature8
48,feature32
49,feature34
50,feature6
51,feature4
52,feature24
53,feature22
54,feature14
55,feature12
56,feature31
57,feature29
58,feature14
59,feature16
60,feature22
61,feature14
