,edges
0,MDVP:Shimmer(dB)
1,MDVP:RAP
2,MDVP:Shimmer
3,HNR
4,MDVP:RAP
5,Jitter:DDP
6,PPE
7,spread1
8,MDVP:Shimmer
9,MDVP:Shimmer(dB)
10,MDVP:Fo(Hz)
11,MDVP:Flo(Hz)
12,Jitter:DDP
13,NHR
14,MDVP:PPQ
15,PPE
16,DFA
17,NHR
18,MDVP:Fo(Hz)
19,PPE
20,MDVP:Shimmer
21,MDVP:PPQ
22,spread1
23,spread2
24,MDVP:Fo(Hz)
25,MDVP:Fhi(Hz)
26,MDVP:APQ
27,Shimmer:APQ5
28,Jitter:DDP
29,MDVP:Jitter(%)
30,HNR
31,D2
32,Shimmer:APQ3
33,Shimmer:DDA
34,MDVP:Jitter(%)
35,MDVP:PPQ
36,MDVP:Shimmer(dB)
37,MDVP:APQ
38,spread1
39,RPDE
40,Shimmer:DDA
41,MDVP:Shimmer
42,MDVP:Shimmer
43,Shimmer:APQ5
44,Shimmer:APQ5
45,MDVP:PPQ
46,HNR
47,NHR
