,edges
0,e42
1,e41
2,e26
3,e25
4,e48
5,e47
6,e45
7,e44
8,e30
9,e31
10,e34
11,e33
12,e28
13,e27
14,e9
15,e8
16,e24
17,e23
18,e37
19,e38
20,e25
21,e24
22,e41
23,e40
24,e47
25,e46
26,e29
27,e30
28,e17
29,e18
30,e23
31,e22
32,e13
33,e12
34,e37
35,e36
36,e16
37,e15
38,e3
39,e4
40,e20
41,e21
42,e15
43,e14
44,e2
45,e1
46,e7
47,e6
48,e59
49,e60
50,e10
51,e11
52,e14
53,e13
54,e19
55,e20
56,e31
57,e32
58,e8
59,e7
60,e46
61,e50
62,e44
63,e43
64,e32
65,e33
66,e35
67,e34
68,e52
69,e51
70,e16
71,e17
72,e12
73,e11
74,e3
75,e2
76,e48
77,e49
78,e18
79,e19
80,e46
81,e45
82,e4
83,e5
84,e38
85,e39
86,e36
87,e35
88,e43
89,e42
90,e27
91,e26
92,e9
93,e10
94,e28
95,e29
96,e21
97,e22
98,e39
99,e40
