,edges
0,distance circularity
1,scaled radius of gyration
2,kurtosis about major axis
3,circularity
4,elongatedness
5,scaled variance along major axis
6,max.length rectangularity
7,scaled variance along major axis
8,max.length aspect ratio
9,hollows ratio
10,kurtosis about major axis
11,scatter ratio
12,hollows ratio
13,pr.axis aspect ratio
14,distance circularity
15,skewness about major axis
16,scaled variance along major axis
17,skewness about major axis
18,hollows ratio
19,compactness
20,scaled variance along minor axis
21,distance circularity
22,kurtosis about major axis
23,elongatedness
24,skewness about major axis
25,radius ratio
26,scatter ratio
27,scaled variance along major axis
28,elongatedness
29,distance circularity
30,elongatedness
31,hollows ratio
32,pr.axis aspect ratio
33,radius ratio
34,max.length rectangularity
35,scaled radius of gyration
36,hollows ratio
37,scaled radius of gyration
38,elongatedness
39,scaled variance along minor axis
40,distance circularity
41,hollows ratio
42,kurtosis about minor axis
43,scatter ratio
44,scaled variance along minor axis
45,pr.axis rectangularity
46,kurtosis about major axis
47,skewness about major axis
48,scaled variance along major axis
49,max.length aspect ratio
50,kurtosis about major axis
51,compactness
52,scatter ratio
53,pr.axis rectangularity
54,kurtosis about major axis
55,hollows ratio
56,circularity
57,scaled radius of gyration
58,max.length rectangularity
59,scatter ratio
60,elongatedness
61,pr.axis rectangularity
62,scaled variance along minor axis
63,compactness
64,circularity
65,elongatedness
66,elongatedness
67,scatter ratio
68,elongatedness
69,pr.axis aspect ratio
70,hollows ratio
71,skewness about major axis
72,scaled variance along minor axis
73,scatter ratio
74,distance circularity
75,max.length aspect ratio
76,max.length rectangularity
77,circularity
78,scaled variance along major axis
79,radius ratio
80,scatter ratio
81,distance circularity
82,kurtosis about major axis
83,distance circularity
