,edges
0,Feature 3
1,Feature 7
2,Feature 6
3,Feature 1
4,Feature 4
5,Feature 9
6,Feature 0
7,Feature 2
8,Feature 4
9,Feature 2
10,Feature 2
11,Feature 9
12,Feature 9
13,Feature 7
14,Feature 6
15,Feature 2
16,Feature 9
17,Feature 1
18,Feature 8
19,Feature 9
20,Feature 5
21,Feature 4
22,Feature 6
23,Feature 8
24,Feature 0
25,Feature 4
26,Feature 3
27,Feature 1
28,Feature 4
29,Feature 1
30,Feature 5
31,Feature 2
32,Feature 2
33,Feature 7
34,Feature 8
35,Feature 4
36,Feature 6
37,Feature 4
38,Feature 8
39,Feature 7
40,Feature 8
41,Feature 3
42,Feature 6
43,Feature 9
44,Feature 5
45,Feature 3
46,Feature 6
47,Feature 3
48,Feature 0
49,Feature 3
50,Feature 0
51,Feature 5
52,Feature 5
53,Feature 8
54,Feature 8
55,Feature 1
56,Feature 6
57,Feature 5
58,Feature 0
59,Feature 8
60,Feature 5
61,Feature 7
62,Feature 1
63,Feature 7
64,Feature 5
65,Feature 9
66,Feature 4
67,Feature 7
68,Feature 0
69,Feature 7
70,Feature 3
71,Feature 2
72,Feature 0
73,Feature 9
74,Feature 2
75,Feature 1
76,Feature 8
77,Feature 2
78,Feature 3
79,Feature 9
80,Feature 6
81,Feature 7
82,Feature 5
83,Feature 1
84,Feature 0
85,Feature 1
86,Feature 3
87,Feature 4
88,Feature 6
89,Feature 0
