,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,class
0,-3.639,0.418,-0.67,1.779,-0.168,1.6269999999999998,-0.3879999999999999,0.529,-0.8740000000000001,-0.8140000000000001,0
1,-3.327,0.496,-0.6940000000000001,1.365,-0.265,1.933,-0.363,0.51,-0.621,-0.488,1
2,-2.12,0.894,-1.5759999999999998,0.147,-0.7070000000000001,1.5590000000000002,-0.579,0.6759999999999999,-0.809,-0.049,2
3,-2.287,1.809,-1.4980000000000002,1.012,-1.053,1.06,-0.5670000000000001,0.235,-0.091,-0.795,3
4,-2.5980000000000003,1.938,-0.846,1.062,-1.633,0.764,0.3939999999999999,-0.15,0.2769999999999999,-0.396,4
5,-2.852,1.914,-0.755,0.825,-1.588,0.855,0.217,-0.246,0.238,-0.365,5
6,-3.482,2.524,-0.433,1.048,-1.995,0.902,0.322,0.45,0.377,-0.366,6
7,-3.941,2.305,0.124,1.771,-1.815,0.593,-0.435,0.992,0.575,-0.301,7
8,-3.86,2.116,-0.939,0.688,-0.675,1.679,-0.512,0.928,-0.1669999999999999,-0.434,8
9,-3.648,1.812,-1.378,1.578,0.065,1.577,-0.466,0.7020000000000001,0.06,-0.836,9
10,-3.032,1.739,-1.141,0.737,-0.8340000000000001,1.386,-0.575,0.679,-0.018,-0.823,10
11,-3.653,0.373,-0.6,1.705,-0.222,1.765,-0.353,0.537,-0.797,-0.813,0
12,-3.237,0.436,-0.86,1.3630000000000002,-0.251,1.915,-0.395,0.7509999999999999,-0.774,-0.327,1
13,-2.135,0.954,-1.632,0.121,-0.7040000000000001,1.6,-0.628,0.713,-0.903,-0.027,2
15,-2.54,2.144,-1.024,0.933,-1.567,1.024,0.188,-0.047,0.309,-0.633,4
16,-2.826,2.003,-0.738,0.8009999999999999,-1.669,0.939,0.245,-0.257,0.256,-0.4579999999999999,5
17,-3.582,2.374,-0.358,1.162,-1.953,0.621,0.3389999999999999,0.355,0.415,-0.259,6
18,-3.951,2.25,0.127,1.7719999999999998,-1.906,0.5670000000000001,-0.432,1.045,0.598,-0.293,7
19,-3.783,1.974,-1.2,0.606,-0.65,1.504,-0.134,0.528,0.392,-0.58,8
20,-3.673,1.811,-1.405,1.621,0.044,1.5719999999999998,-0.4529999999999999,0.745,-0.066,-0.733,9
21,-2.946,1.649,-1.167,0.7879999999999999,-0.909,1.3,-0.562,0.902,-0.07,-0.8420000000000001,10
22,-3.665,0.337,-0.6409999999999999,1.791,-0.1939999999999999,1.686,-0.359,0.57,-0.6759999999999999,-0.841,0
23,-3.165,0.408,-0.971,1.207,-0.298,1.921,-0.215,0.723,-0.492,-0.425,1
24,-2.105,1.035,-1.705,0.231,-0.5579999999999999,1.554,-0.649,0.71,-0.855,-0.151,2
25,-2.312,1.746,-1.51,1.019,-0.99,0.941,-0.488,0.208,0.033,-0.847,3
26,-2.635,2.147,-1.129,0.911,-1.4069999999999998,1.095,-0.071,0.118,0.139,-0.685,4
28,-3.635,2.25,-0.3939999999999999,1.012,-1.693,0.1169999999999999,0.665,0.281,0.3429999999999999,-0.003,6
29,-3.986,2.325,0.102,1.633,-2.014,0.5760000000000001,-0.344,1.003,0.5660000000000001,-0.245,7
30,-3.712,1.816,-1.171,0.647,-0.767,1.6980000000000002,-0.347,0.92,0.159,-0.359,8
32,-2.859,1.6269999999999998,-1.14,0.769,-0.948,1.39,-0.608,0.956,-0.204,-0.727,10
33,-3.624,0.305,-0.708,1.758,-0.1939999999999999,1.675,-0.273,0.561,-0.5770000000000001,-0.843,0
34,-3.062,0.351,-1.071,1.061,-0.355,1.99,-0.21,0.7959999999999999,-0.358,-0.299,1
35,-2.081,1.05,-1.778,0.411,-0.518,1.46,-0.5760000000000001,0.735,-0.866,-0.172,2
36,-2.289,1.845,-1.616,0.987,-0.8759999999999999,1.044,-0.5489999999999999,0.196,-0.07,-0.8140000000000001,3
37,-2.724,2.067,-1.142,0.923,-1.157,1.17,-0.276,0.172,-0.008,-0.649,4
38,-3.015,2.232,-0.899,0.574,-1.331,0.546,0.61,-0.452,0.035,-0.156,5
39,-3.559,2.126,-0.445,1.053,-1.765,0.349,0.546,0.321,0.4429999999999999,-0.118,6
40,-4.074,2.281,0.152,1.556,-1.6130000000000002,-0.047,0.222,0.252,0.775,0.125,7
41,-3.618,1.5759999999999998,-1.14,0.6990000000000001,-0.741,1.633,-0.387,1.086,0.235,-0.3879999999999999,8
42,-3.687,1.784,-1.5930000000000002,1.6030000000000002,0.123,1.4240000000000002,-0.225,0.441,0.206,-0.7140000000000001,9
43,-2.69,1.652,-1.261,0.674,-0.964,1.449,-0.593,1.005,-0.303,-0.541,10
44,-3.593,0.29,-0.782,1.707,-0.175,1.662,-0.1369999999999999,0.493,-0.492,-0.926,0
46,-2.255,0.902,-1.723,0.4539999999999999,-0.524,1.453,-0.614,0.7609999999999999,-0.885,-0.118,2
47,-2.299,1.848,-1.695,1.065,-0.861,1.047,-0.607,0.313,-0.253,-0.759,3
48,-2.911,1.928,-1.131,0.899,-0.911,1.111,-0.208,-0.047,-0.0289999999999999,-0.539,4
49,-3.089,2.339,-0.973,0.4629999999999999,-1.169,0.5429999999999999,0.598,-0.45,-0.08,-0.039,5
50,-3.459,2.086,-0.595,0.937,-1.841,0.6,0.457,0.4,0.473,-0.211,6
51,-4.208,2.447,0.049,1.331,-2.088,0.585,-0.05,0.82,0.606,-0.302,7
52,-3.543,1.391,-1.22,0.6990000000000001,-0.769,1.579,-0.379,1.158,0.181,-0.178,8
53,-3.684,1.774,-1.7280000000000002,1.611,0.1,1.393,-0.193,0.5539999999999999,0.245,-0.919,9
54,-2.596,1.56,-1.249,0.6559999999999999,-1.095,1.2919999999999998,-0.55,1.006,-0.15,-0.5529999999999999,10
56,-3.1710000000000003,0.49,-1.128,0.911,-0.3879999999999999,2.014,-0.212,0.7070000000000001,-0.551,-0.187,1
57,-2.302,0.85,-1.646,0.455,-0.488,1.491,-0.617,0.8190000000000001,-0.887,-0.08,2
58,-2.3680000000000003,1.727,-1.556,1.162,-0.8190000000000001,0.941,-0.5720000000000001,0.345,-0.2789999999999999,-0.736,3
59,-3.141,1.873,-1.131,0.941,-0.759,1.224,-0.354,0.016,-0.218,-0.568,4
60,-3.065,2.372,-1.002,0.496,-1.295,0.86,0.327,-0.4039999999999999,0.067,-0.155,5
61,-3.4730000000000003,2.178,-0.82,0.706,-1.71,0.779,0.422,0.351,0.426,-0.267,6
62,-4.238,2.437,0.036,1.158,-2.127,0.5539999999999999,0.12,0.823,0.565,-0.293,7
63,-3.5460000000000003,1.258,-1.227,0.823,-0.7020000000000001,1.734,-0.397,1.3330000000000002,-0.2769999999999999,0.013,8
64,-3.869,1.86,-1.646,1.612,0.044,1.531,-0.493,0.862,-0.106,-1.001,9
66,-4.102,0.209,0.414,0.423,0.985,1.4340000000000002,0.6629999999999999,0.036,-0.784,-0.6679999999999999,0
67,-1.372,-0.03,-1.003,-0.3879999999999999,-0.471,1.141,0.654,0.823,0.5579999999999999,0.043,1
